ID,Gender,Weight (kg),Age (yrs),In-plane(mm),Slice thickness (mm)
M01,Female,6.7,6.0,0.225,0.2
M02,Male,7.1,6.0,0.25,0.2
M03,Male,5.65,6.8,0.3,0.5
M04,Male,7.5,7.7,0.3,0.5
M05,Male,9.45,9.0,0.26,0.3
M06,Female,9.5,6.0,0.29,0.5
M07,Female,4.8,6.0,0.285,0.5
M08,Male,9.5,8.0,0.324,0.5
M09,Male,12,6.8,0.37,0.3
M10,Male,7.7,8.4,0.35,0.5
M11,Female,5.1,7.2,0.36,0.125
M12,Male,12.5,7.5,0.37,0.25
M13,Male,10.1,5.2,0.37,0.25
M14,Male,13.95,10.8,0.37,0.25
M15,Male,11.25,6.2,0.37,0.25
M16,Male,11.45,6.2,0.37,0.25
M17,Male,7.6,5.2,0.293,0.5
M18,Male,6,5.3,0.355,0.3
M19,Male,14.1,6.0,0.37,0.125
M20,Male,6.7,4.8,0.37,0.125
M21,Male,5.7,4.0,0.352,0.25
M22,Male,7.3,4.1,,
M23,Male,8.5,6.4,0.37,0.25
M24,Male,6.8,8.3,0.37,0.25
M25,Male,8.5,5.6,0.293,0.25
M26,Male,7.8,4.7,0.37,0.25
M27,Male,12.2,24.9,0.46,0.625
M28,Male,14.2,25.8,0.31,0.625
M29,Male,11.5,19.0,0.48,0.625
M30,Male,13.1,14.1,0.4,0.625
M31,Male,11.1,16.4,0.36,0.625
M32, -, -, -,0.34,0.625
M33,Male,16,8.5,0.39,0.625
M34,Female,7.5,9.7,0.34,0.625
M35,Female,9.3,7.2,0.32,0.625
M36,Female,7.8,10.6,0.29,0.625
