scan ID,Sex,DOB,Birth weight (g),Matriline,Patriline,Age 1/days,Scan 1,weight kg,Age 2/days,Scan 2,weight,Age 3/days,Scan 3,weight,Age 2/days,Scan 4,weight,Age 2/days,Scan 5,weight
1,F,6/6/10,438,1,1,360,06/01/11,1.9,493,10/12/11,2.6,605,02/01/12,2.76,758,07/03/12,3.16,863,10/16/12,3.4
2,M,6/3/10,590,2,2,363,06/01/11,2.22,496,10/12/11,2.66,608,02/01/12,2.8,761,07/03/12,3.36,866,10/16/12,3.78
4,M,3/11/10,590,4,4,482,07/06/11,3.08,601,11/02/11,3.26,727,03/07/12,4.02,853,07/11/12,4,972,11/07/12,4.94
5,F,12/10/09,452,5,5 / 4,601,08/03/11,2.68,727,12/07/11,3.06,846,04/04/12,3.34,958,07/25/12,3.78,1090,12/04/12,4.66
6,M,12/28/09,648,6,6,584,08/04/11,3.12,709,12/07/11,3.62,828,04/04/12,4.22,940,07/25/12,4.98,1072,12/04/12,5.47
7,M,12/20/10,495,7,7,261,09/07/11,1.86,380,01/04/12,2.12,499,05/02/12,2.38,625,09/05/12,2.88,758,01/16/13,3.19
8,F,12/29/10,460,8,8,252,09/07/11,1.86,371,01/04/12,2.1,490,05/02/12,2.6,616,09/05/12,3.28,750,01/17/13,3.81
10,M,10/11/11,626,10,10 / 9,197,04/25/12,1.53,316,08/22/12,2.31,427,12/11/12,2.65,540,04/03/13,3.42,652,07/24/13,3.84
11,F,12/15/10,425,11,4,498,04/26/12,2.32,616,08/22/12,2.82,721,12/05/12,3.17,847,04/10/13,3.48,973,08/14/13,4.12
12,F,10/19/11,580,12,12,195,05/01/12,1.49,315,08/29/12,2.27,419,12/11/12,2.66,532,04/03/13,3.24,665,08/14/13,3.68
13,M,12/13/11,616,13,13,148,05/09/12,1.2,266,09/04/12,2.12,407,01/23/13,2.94,505,05/01/13,3.13,617,08/21/13,3.56
14,F,12/29/11,463,14,14,146,05/23/12,0.99,250,09/04/12,1.6,391,01/23/13,2.32,489,05/01/13,2.48,615,09/04/13,2.78
15,F,2/2/12,420,15,14 / 9,132,06/13/12,1,,,,,,,,,,,,
16,M,2/23/12,672,16,1,118,06/20/12,1.26,244,10/24/12,1.88,349,02/06/13,2.16,475,06/12/13,2.56,606,10/21/13,2.98
17,M,4/14/12,460,17,17 / 3,95,07/18/12,0.71,228,11/28/12,1.42,326,03/06/13,2,445,07/03/13,2.46,578,11/13/13,3
18,F,4/27/12,609,18,44,103,08/08/12,1.01,229,12/12/12,1.52,313,03/06/13,2.04,432,07/03/13,2.34,566,11/14/13,3.06
19,F,6/4/12,496,19,1,121,10/03/12,1.11,254,02/13/13,1.75,373,06/12/13,2.3,492,10/09/13,2.7,597,01/22/14,3.24
20,M,9/23/12,480,20,20,64,11/26/12,0.89,170,03/12/13,1.34,233,05/14/13,1.62,332,08/21/13,2.24,423,11/20/13,2.35
21,F,11/11/12,500,21,21,74,01/24/13,0.8,157,04/17/13,1.19,255,07/24/13,1.56,339,10/16/13,1.91,451,02/05/14,1.9
22,M,12/26/12,570,22,9 / 4,57,02/21/13,0.74,134,05/09/13,1.28,273,09/25/13,2.08,356,12/17/13,2.12,434,03/05/14,2.62
23,F,1/4/13,488,23,23,54,02/27/13,0.72,153,06/06/13,1.15,236,08/28/13,1.64,320,11/20/13,1.85,432,03/12/14,2.24
24,F,2/22/13,510,24,24,26,03/20/13,0.56,,,,,,,,,,,,
25,M,2/22/13,540,25,23,27,03/21/13,0.68,117,06/19/13,1.1,229,10/09/13,1.58,320,01/08/14,2.07,397,03/26/14,2.3
26,F,12/10/12,,26,26,87,03/07/13,1.01,212,07/10/13,1.55,333,11/08/13,2.18,450,03/05/14,2.8,590,07/23/14,3.11
27,M,12/20/12,541,1,27,97,03/27/13,0.86,202,07/10/13,1.24,217,07/25/13,1.38,461,03/26/14,2.17,580,07/23/14,2.73
28,M,3/12/13,582,28,9,29,04/10/13,0.71,127,07/17/13,1.24,218,10/16/13,1.6,309,01/15/14,2.12,400,04/16/14,2.74
29,M,12/17/12,546,29,24,122,04/18/13,1,254,08/28/13,1.74,359,12/11/13,2,478,04/09/14,2.42,611,08/20/14,3
30,F,1/4/13,516,30,30,116,04/30/13,1.1,250,09/11/13,1.66,376,01/15/14,2.31,488,05/07/14,2.79,600,08/27/14,3.18
31,M,3/31/13,500,31,31,32,05/02/13,0.61,122,07/31/13,0.98,222,11/08/13,1.63,297,01/22/14,2.08,402,05/07/14,2.56
32,F,5/13/13,492,32,32,17,05/30/13,0.54,102,08/23/13,0.96,198,11/27/13,1.54,289,02/26/14,2.03,373,05/21/14,2.34
33,F,5/7/13,568,33,33,28,06/04/13,0.7,,,,204,11/27/13,1.5,295,02/26/14,2.1,393,06/04/14,2.48
34,M,6/26/13,476,18,18,16,07/12/13,0.54,98,10/02/13,0.84,224,02/05/14,1.56,294,04/16/14,1.88,371,07/02/14,2.02
35,M,7/23/13,622,35,35,13,08/05/13,0.69,93,10/24/13,1.13,204,02/12/14,1.66,281,04/30/14,2.03,349,07/07/14,2.49
36,M,7/26/13,565,36,36,18,08/13/13,0.64,96,10/30/13,1,201,02/12/14,1.5,278,04/30/14,2.02,346,07/07/14,2.55
