Specimen,Sex,Yrs,Mos,kg
29999,F,18,11,9.3
30171,F,20,0,8.49
30797,F,17,11,12.6
31603,F,16,8,7.35
31692,F,16,11,7.7
32200,F,16,9,8.5
32208,M,16,0,14.8
32277,F,15,8,7
32397,M,16,11,14.85
32977,M,15,0,17.3
33422,F,14,6,8.87
33428,F,14,6,11.44
33792,F,14,10,10.8
33843,F,14,0,9.46
34993,F,12,5,10.09
35560,F,11,11,10.75
35602,F,11,11,5.93
35761,F,11,0,10.93
35837,M,11,9,11.53
35840,F,11,6,9.45
36384,F,11,0,6.6
36496,M,10,10,16.02
36720,F,10,10,9.42
36819,F,11,8,10.87
37085,F,9,11,11.15
37163,F,10,3,12.58
37166,F,10,3,8.42
37177,F,9,0,9.53
37214,F,10,3,9.9
37266,F,9,11,9.66
37345,M,9,10,13.26
37410,F,9,3,7.12
37414,F,9,7,6.77
37447,F,12,1,11.78
37452,M,9,10,18.6
37477,F,9,7,5.3
37538,F,9,10,11.34
37585,F,9,9,7.57
37599,F,9,9,5.53
37652,F,10,1,15.83
37687,F,10,0,7.38
37748,F,10,0,8.9
37861,F,9,3,7.2
37896,F,9,3,9.49
38037,F,8,11,10.83
38120,F,9,10,7.43
38219,M,9,11,14.95
38228,F,8,10,5.8
38252,F,8,10,11.18
38328,F,8,10,15.21
38341,F,8,10,7.66
38465,F,9,0,9.5
38752,M,8,2,11.84
38982,M,7,7,8.96
39026,F,7,11,7.26
39242,F,7,9,7.39
39374,F,7,9,7.91
39481,F,7,6,9.41
39512,M,7,8,9.58
39612,F,7,0,7
39650,M,7,2,11.45
39847,F,6,11,7.36
39971,M,6,10,11.9
40000,M,6,10,11.21
40021,F,6,10,7.33
40052,F,7,0,11.23
40099,M,7,1,11.69
40109,F,6,10,6.39
40202,M,6,9,10.88
40243,F,6,9,5.18
40446,M,6,7,10.93
40458,F,6,4,5.84
41251,F,6,2,6.4
41255,M,7,1,9.6
28446,M,23,3,11.51
31538,M,18,1,10.57
33030,F,17,1,9.71
33326,F,16,3,7.14
33737,M,15,2,15.47
33899,F,16,1,9.34
33915,F,15,3,8.36
34040,F,15,0,9.28
34839,F,15,0,9.73
34880,M,15,0,12.61
34884,M,15,0,16.58
35538,F,13,0,8.51
35830,F,13,3,8.42
36122,F,13,2,8.44
36312,F,12,3,9.75
36422,M,13,0,19.76
37314,F,12,1,9.44
37365,F,11,3,7.9
37420,F,11,3,9.62
37443,M,11,3,12.01
37568,M,11,3,9.03
37644,F,10,3,5.24
37847,F,11,1,11.19
37943,F,10,3,8.29
38021,F,11,0,14.82
38333,F,10,3,8.5
38361,F,11,0,6.94
38699,F,10,1,12.65
38735,F,10,1,7.81
39018,F,9,1,7.21
39278,F,9,3,9.61
39577,F,9,1,12.99
39670,F,9,1,5.35
39810,F,9,1,7.32
39875,F,8,3,5.39
39925,F,9,0,12.04
39995,F,9,1,9.05
40262,F,8,3,12.14
40765,F,7,3,7.86
40809,F,8,1,8.38
41026,M,7,3,9.88
41066,M,7,3,12.26
41252,F,7,3,7.86
42496,F,6,1,5.62
42687,F,6,0,5.14
42946,F,5,3,8.05
44339,M,4,0,7.86
44417,M,4,0,7.4
45407,F,2,3,6.02
46123,F,5,3,8.2
46124,F,5,1,6.65
46125,M,5,3,9.74
46126,M,5,1,11.25
46127,M,7,0,11.88
46128,M,6,1,13.72
46132,F,6,1,5.4
46133,F,6,1,6.3
46134,F,6,1,6.4
46135,F,6,1,7
46136,M,6,1,12.57
46137,M,6,1,12.96
46769,F,17,0,11.07
32663,F,18,4,9.94
32665,F,18,4,10.27
32924,F,17,7,11.33
33199,F,17,6,7.37
33669,F,16,8,13.46
46770,F,17,6,12.1
37535,F,12,5,12.95
33002,F,17,7,11.34
32888,F,17,7,12.36
27750,F,25,4,9.62
33077,M,17,6,11.63
32107,F,18,7,10.79
32237,F,18,7,8.55
32157,F,18,7,10.21
32191,F,18,7,6.61
32046,F,18,8,8.98
32114,F,18,7,8.95
32636,F,18,4,7.98
29658,F,22,5,7.23
34453,F,24,2,8.35
32394,F,18,7,11.1
31459,F,19,8,9.04
34123,F,21,5,7.11
37576,F,12,7,9.95
41337,F,8,5,8
35122,F,15,7,10.28
41373,F,8,4,9.12
39696,M,9,9,19.2
34220,M,16,7,17.11
33734,M,16,9,14.91
37175,M,12,8,17.62
37394,F,12,7,6.22
37430,F,12,8,11.18
37749,F,12,5,13.34
43016,F,6,6,6.33
37389,F,12,8,11.88
42622,F,6,8,6.07
41165,M,8,7,10.76
31775,F,19,9,9.51
31761,F,19,9,6.83
31677,F,19,10,10.31
31375,F,19,11,7.37
30878,F,20,10,11.64
39584,M,10,3,13.52
40144,M,10,1,14.47
39302,M,11,1,14.5
39272,M,11,1,20.4
40223,M,10,1,22.35
42401,M,7,2,16.7
42272,M,7,4,10.81
42384,M,7,2,11.85
40769,M,9,2,20.97
37161,F,13,4,11.09
39869,F,10,3,7.64
40730,F,9,4,10.17
39107,F,11,3,11.35
37292,F,13,3,13.36
38756,F,11,4,5.84
38529,F,12,1,11.33
36879,F,14,1,12.36
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
